an_iter,KL_loss,attr_loss,recn_loss,net_loss
0,0.8358505,0.0,-594.6203,-595.4561
100,0.8697003,0.0,-220.05812,-220.9278
200,0.65237594,0.0,-212.88516,-213.53752
300,1.5091394,0.0,-205.88141,-207.39056
400,2.2256489,0.0,-199.04027,-201.26593
500,2.5653405,0.0,-185.46698,-188.03232
600,2.9356163,0.0,-187.98016,-190.91576
700,3.6561651,0.0,-180.36217,-184.01834
800,3.840323,0.0,-192.77269,-196.61299
900,4.0386195,0.0,-172.82297,-176.86162
1000,4.1786666,0.0,-173.59004,-177.76869
1100,4.2710075,0.0,-194.94289,-199.21393
1200,4.6552715,0.0,-174.18228,-178.83754
1300,5.119429,0.0,-182.08878,-187.20824
1400,5.034999,0.0,-178.2115,-183.2465
1500,4.7810907,0.0,-174.53976,-179.32085
1600,4.7875814,0.0,-171.97699,-176.76457
1700,5.503446,0.0,-170.43623,-175.93967
1800,4.726237,0.0,-169.25447,-173.9807
1900,5.4077873,0.0,-179.21107,-184.61887
2000,5.1962185,0.0,-168.76262,-173.95885
2100,5.5672154,0.0,-176.16383,-181.7311
2200,5.368606,0.0,-171.6692,-177.0378
2300,5.414492,0.0,-162.05937,-167.47389
2400,5.3437786,0.0,-166.36151,-171.70528
2500,5.5215416,0.0,-176.20335,-181.72488
2600,5.620671,0.0,-172.8956,-178.5163
2700,5.285636,0.0,-162.88446,-168.1701
2800,5.686994,0.0,-169.91579,-175.60277
2900,5.7497993,0.0,-166.59126,-172.3411
3000,5.34564,0.0,-176.22699,-181.57262
3100,5.8662453,0.0,-170.9294,-176.79561
3200,5.6812315,0.0,-162.75174,-168.43295
3300,5.8569975,0.0,-162.05275,-167.90974
3400,5.8768897,0.0,-166.34627,-172.22322
3500,6.0228376,0.0,-171.35219,-177.37505
3600,5.850823,0.0,-171.65195,-177.50279
3700,6.0684547,0.0,-162.61188,-168.68031
3800,6.0144672,0.0,-164.00893,-170.02338
3900,6.0147343,0.0,-169.00107,-175.01581
4000,5.7470717,0.0,-160.41064,-166.15773
4100,6.2278447,0.0,-166.97035,-173.19818
4200,6.2136664,0.0,-159.41913,-165.6328
4300,6.365044,0.0,-162.01219,-168.37724
4400,6.014954,0.0,-165.47061,-171.48553
4500,6.646666,0.0,-160.84358,-167.49025
4600,6.6685615,0.0,-156.7367,-163.40523
4700,6.4653783,0.0,-172.67339,-179.13876
4800,6.901905,0.0,-162.34105,-169.24297
4900,6.5303097,0.0,-170.96996,-177.50029
5000,6.4015446,0.0,-170.29417,-176.69571
5100,6.6724715,0.0,-168.58745,-175.25992
5200,6.3068004,0.0,-153.02867,-159.3355
5300,6.5020237,0.0,-170.0493,-176.55133
5400,6.4257,0.0,-158.70457,-165.1303
5500,6.477933,0.0,-157.9089,-164.38684
5600,6.131883,0.0,-167.70515,-173.837
5700,6.786164,0.0,-166.22638,-173.01254
5800,6.285182,0.0,-161.92137,-168.20654
5900,6.5766616,0.0,-167.58768,-174.16434
6000,6.5500584,0.0,-165.97697,-172.52704
6100,6.6253333,0.0,-156.39967,-163.025
6200,6.272348,0.0,-159.65016,-165.9225
6300,6.128679,0.0,-170.85938,-176.98807
6400,6.5736303,0.0,-165.033,-171.60663
6500,6.277997,0.0,-162.58514,-168.86313
6600,6.690615,0.0,-164.94504,-171.63567
6700,6.805599,0.0,-161.74147,-168.54707
6800,6.630268,0.0,-161.54074,-168.17102
6900,6.963555,0.0,-158.0915,-165.05508
7000,6.733889,0.0,-152.27615,-159.01003
7100,6.391852,0.0,-159.87346,-166.26532
7200,6.6124706,0.0,-156.59653,-163.209
7300,7.2541914,0.0,-163.34569,-170.59988
7400,6.5639896,0.0,-159.69443,-166.25844
7500,7.0149617,0.0,-159.82632,-166.8413
7600,6.5671096,0.0,-161.79268,-168.35979
7700,7.131027,0.0,-156.06325,-163.19427
7800,6.554441,0.0,-157.42114,-163.97557
7900,6.4614606,0.0,-155.02982,-161.49127
8000,6.9115796,0.0,-158.4664,-165.37798
8100,6.8747277,0.0,-164.84633,-171.72105
8200,6.422784,0.0,-166.56787,-172.99065
8300,6.796433,0.0,-158.96992,-165.76637
8400,6.772254,0.0,-166.7468,-173.51906
8500,6.92334,0.0,-159.23038,-166.15372
8600,6.938864,0.0,-165.1942,-172.13307
8700,6.898181,0.0,-150.90114,-157.7993
8800,7.045994,0.0,-161.15518,-168.20117
8900,6.798164,0.0,-159.51509,-166.31325
9000,6.7128816,0.0,-157.06645,-163.77934
9100,6.4224935,0.0,-157.57495,-163.99744
9200,7.23249,0.0,-157.62987,-164.86235
9300,6.5322127,0.0,-148.47382,-155.00604
9400,6.9590373,0.0,-161.50842,-168.46747
9500,6.918181,0.0,-161.0007,-167.91888
9600,7.4224854,0.0,-156.6705,-164.09297
9700,7.0234165,0.0,-156.13438,-163.1578
9800,6.5716686,0.0,-158.94164,-165.5133
9900,6.2992415,0.0,-159.11127,-165.41052
10000,6.514429,0.0,-162.94972,-169.46416
10100,6.4934936,0.0,-162.75542,-169.2489
10200,6.924803,0.0,-155.69856,-162.62337
10300,6.2406244,0.0,-165.64676,-171.8874
10400,6.696119,0.0,-152.31802,-159.01414
