an_iter,KL_loss,attr_loss,recn_loss,net_loss
92250,17.75584,3.6727304,-162.54121,-180.29706
93000,17.190454,3.5862463,-174.35771,-191.54814
93750,17.104856,3.9447923,-172.86887,-189.9737
94500,16.595005,3.8543584,-165.37318,-181.9682
95250,17.79151,3.662495,-168.91992,-186.71141
96000,17.189249,3.6935132,-175.56207,-192.75134
96750,18.000404,3.7126517,-175.16998,-193.17036
97500,18.73463,3.757944,-189.01328,-207.74791
98250,17.915064,3.7654123,-170.91064,-188.82568
99000,17.76401,3.7615638,-169.59528,-187.35931
99750,17.204334,3.684009,-165.0415,-182.24583
100500,16.783842,3.770524,-171.06042,-187.84424
101250,17.892647,3.8864498,-164.19177,-182.08441
102000,17.519068,3.6375396,-174.6175,-192.13658
102750,17.895142,3.7291088,-171.10799,-189.00311
103500,17.522146,3.649575,-163.06575,-180.58789
104250,17.255451,3.8978915,-159.14883,-176.40425
105000,17.513046,3.6791186,-168.19087,-185.70392
105750,17.20998,3.8114822,-171.91255,-189.12257
106500,17.07289,3.7381582,-166.21674,-183.28964
107250,17.719912,3.6874719,-165.76268,-183.48257
108000,17.511728,3.7436264,-170.45206,-187.96378
108750,17.575764,3.8291605,-164.96071,-182.53648
109500,18.003525,3.655696,-174.25511,-192.2586
110250,17.840704,3.7280717,-173.54776,-191.38849
111000,18.077326,3.8021574,-167.9024,-185.97975
111750,17.197464,3.6068206,-174.28911,-191.4866
112500,17.4758,3.7018135,-167.34613,-184.82196
113250,17.91766,3.7801676,-164.6287,-182.54633
114000,17.344944,3.8202295,-172.94624,-190.29121
114750,18.798407,3.8136382,-162.41711,-181.21553
115500,18.542257,3.7326002,-169.54115,-188.08342
116250,17.660175,3.7833946,-167.75008,-185.41025
117000,17.24586,3.7293105,-162.81633,-180.0622
117750,17.715017,3.7136605,-167.24388,-184.95892
118500,16.870594,3.6004224,-176.93839,-193.80899
119250,17.582594,3.792798,-176.5419,-194.1245
120000,16.871086,3.7056665,-161.09483,-177.96594
120750,18.594366,3.9035687,-173.86131,-192.45569
121500,17.813704,3.7133253,-165.95224,-183.76598
122250,17.835766,3.722125,-163.22105,-181.05682
123000,17.544792,3.7273574,-187.01176,-204.55656
123750,17.786747,3.6967323,-173.31886,-191.10562
124500,17.672413,3.9370148,-175.35797,-193.0304
125250,16.7426,3.8307998,-173.10065,-189.84326
126000,17.612638,3.739334,-167.04393,-184.65656
126750,17.72908,3.8542035,-161.86337,-179.59248
127500,17.23641,3.724084,-165.24123,-182.47766
128250,17.1101,3.914235,-172.40936,-189.51944
129000,17.875662,3.7485197,-158.40755,-176.28322
129750,17.671219,3.6798856,-178.67125,-196.34247
130500,17.83568,3.8201292,-170.5966,-188.43227
131250,18.07328,3.7075922,-170.70952,-188.78279
132000,17.753046,3.6484818,-173.9843,-191.73732
