an_iter,KL_loss,attr_loss,recn_loss,net_loss
0,7.871332,0.0,-1663.7195,-1671.5906
100,0.905368,0.0,-209.04953,-209.95488
200,0.6417883,0.0,-192.7992,-193.44096
300,0.39609015,0.0,-175.5397,-175.93582
400,0.22191802,0.0,-151.21545,-151.43736
500,0.16090596,0.0,-132.84526,-133.00618
600,0.10732519,0.0,-120.99213,-121.099464
700,0.07704949,0.0,-114.12154,-114.19856
800,0.05916015,0.0,-107.121956,-107.18109
900,0.049278222,0.0,-101.489716,-101.538994
1000,0.04357122,0.0,-103.302666,-103.34624
1100,0.039002467,0.0,-98.515625,-98.55464
1200,0.031332266,0.0,-93.49331,-93.524635
1300,0.029544892,0.0,-87.72761,-87.75716
1400,0.024771858,0.0,-91.36685,-91.391624
1500,0.020844985,0.0,-91.362686,-91.38352
1600,0.019906808,0.0,-85.503,-85.52291
1700,0.019421428,0.0,-87.519,-87.53841
1800,0.01795132,0.0,-87.09336,-87.11132
1900,0.014764545,0.0,-80.65241,-80.667175
2000,0.013112675,0.0,-82.59013,-82.60324
2100,0.012614003,0.0,-83.43865,-83.45128
2200,0.012188112,0.0,-79.8271,-79.839294
2300,0.01057044,0.0,-81.125275,-81.13584
2400,0.011191324,0.0,-80.56166,-80.572845
2500,0.0093646785,0.0,-76.48236,-76.49172
2600,0.00908416,0.0,-77.05665,-77.065735
2700,0.008730326,0.0,-78.945915,-78.95465
2800,0.007586553,0.0,-78.66172,-78.6693
2900,0.0068554324,0.0,-78.84216,-78.849014
3000,0.0069795824,0.0,-74.63847,-74.64546
3100,0.0071562408,0.0,-76.70208,-76.709236
3200,0.005894091,0.0,-78.34492,-78.350815
3300,0.0052746725,0.0,-76.932594,-76.937874
3400,0.005337613,0.0,-75.705246,-75.71058
3500,0.0045061875,0.0,-71.45317,-71.45767
3600,0.004563851,0.0,-75.07961,-75.08418
3700,0.004683445,0.0,-73.79652,-73.8012
3800,0.004236052,0.0,-75.18534,-75.18957
3900,0.0038346571,0.0,-72.652435,-72.656265
4000,0.003806246,0.0,-76.18219,-76.18599
4100,0.0038284722,0.0,-69.62995,-69.63377
4200,0.003482925,0.0,-70.87427,-70.87775
4300,0.0033763924,0.0,-72.51117,-72.51454
4400,0.002999262,0.0,-72.094315,-72.09731
4500,0.0032265356,0.0,-72.814964,-72.81819
4600,0.0035918683,0.0,-73.086205,-73.08979
4700,0.0029056438,0.0,-71.099754,-71.10267
4800,0.0033098299,0.0,-69.5975,-69.60081
4900,0.0027883241,0.0,-70.110916,-70.1137
5000,0.002683859,0.0,-71.15981,-71.1625
5100,0.0033587115,0.0,-73.64934,-73.65271
5200,0.0027338667,0.0,-70.81796,-70.8207
5300,0.0033691423,0.0,-70.16838,-70.17175
5400,0.002427845,0.0,-72.36999,-72.372406
5500,0.0032229172,0.0,-73.75649,-73.75971
5600,0.0029054869,0.0,-71.982185,-71.9851
5700,0.0024338602,0.0,-69.1104,-69.11283
5800,0.0039151455,0.0,-70.21889,-70.2228
5900,0.0023800826,0.0,-70.301926,-70.304306
6000,0.002205791,0.0,-72.72554,-72.727745
6100,0.0030689063,0.0,-70.98823,-70.9913
6200,0.002149778,0.0,-70.90959,-70.91175
6300,0.005615404,0.0,-76.20811,-76.213715
6400,0.003237561,0.0,-73.91588,-73.91912
6500,0.0030365924,0.0,-71.52348,-71.52652
6600,0.0022227638,0.0,-70.45,-70.45222
6700,0.002434881,0.0,-71.00731,-71.009735
6800,0.0028219156,0.0,-72.276245,-72.27907
6900,0.0024711597,0.0,-70.16909,-70.17156
