an_iter,KL_loss,attr_loss,recn_loss,net_loss
0,1.5962981,4.2170014,-1566.1655,-1567.7617
750,5.764836,3.8590577,-551.8004,-557.56525
1500,1.4896005,3.8020442,-544.0208,-545.5104
2250,0.070775144,3.8722425,-544.0923,-544.163
3000,0.08499928,3.8406913,-543.49493,-543.58
3750,0.3045536,3.8699179,-543.8159,-544.1205
4500,0.5019117,3.9413476,-543.39294,-543.89484
5250,0.6483976,3.7720835,-544.0792,-544.7276
6000,0.5707835,3.740956,-543.46,-544.03076
6750,0.5275328,3.8726752,-542.4141,-542.9416
7500,0.4912349,3.7836158,-542.80286,-543.2941
8250,0.42526668,3.9164298,-542.4973,-542.92255
9000,0.54183143,3.8492692,-541.88403,-542.42584
9750,0.5452059,3.5666897,-543.7467,-544.2919
10500,0.678605,3.7987912,-541.8955,-542.5741
11250,0.580153,3.7952182,-542.68604,-543.26624
12000,0.70317376,3.770684,-542.6296,-543.33276
12750,0.6915686,3.7439759,-543.3769,-544.0685
13500,0.66557115,3.8897007,-542.5712,-543.2369
14250,0.6486712,3.767687,-542.2057,-542.85425
15000,0.69124544,3.812745,-541.94666,-542.6379
15750,0.61021906,3.8167999,-543.2394,-543.84955
16500,0.6541974,3.7609746,-541.1347,-541.7888
17250,0.7026608,3.8624003,-543.7955,-544.49817
18000,0.87267077,3.8032281,-541.38226,-542.25494
18750,0.8626897,3.7729015,-541.17346,-542.0362
19500,0.8893114,3.7919085,-540.55743,-541.44666
20250,0.812114,3.6861494,-541.26874,-542.0809
21000,0.8236999,3.6403425,-543.3795,-544.20325
21750,0.9898156,3.6888752,-541.59094,-542.5808
22500,0.9843681,3.7160995,-542.0313,-543.01575
23250,1.0088859,3.6739092,-542.83575,-543.84467
24000,0.9456938,3.766701,-542.28345,-543.2291
24750,1.1364527,3.6562717,-541.7944,-542.9308
25500,1.0217785,3.7007568,-542.90045,-543.92224
26250,0.86531264,3.9938507,-541.7407,-542.6061
27000,0.95329577,3.8676155,-543.0051,-543.9585
27750,1.2177439,4.081264,-541.7185,-542.9363
28500,0.95021033,3.922251,-541.715,-542.66516
29250,1.1133024,3.9639084,-542.02856,-543.14185
30000,1.149944,4.0676036,-541.24194,-542.39185
30750,1.0839065,3.8565671,-540.7232,-541.8071
31500,1.1053877,4.0649962,-541.5495,-542.65497
32250,1.1656446,4.1430855,-540.2094,-541.3752
33000,1.1059445,4.0153666,-540.9448,-542.05084
33750,1.1135361,3.973962,-542.07733,-543.1909
34500,1.1357479,3.9273806,-542.3798,-543.5155
35250,1.0743908,3.799744,-542.81134,-543.8857
36000,1.4967816,3.8233552,-540.15,-541.64685
36750,1.3028411,3.7396948,-542.4373,-543.7402
37500,1.3012978,3.7679904,-541.3456,-542.64685
38250,1.5310793,3.6865373,-540.7232,-542.2543
39000,1.3125861,3.887478,-541.72565,-543.03827
39750,1.3731568,3.9627173,-541.81854,-543.19165
40500,1.4122406,3.7038498,-541.33795,-542.7501
41250,1.4748868,3.7004921,-543.9,-545.37494
42000,1.3004401,3.7225752,-542.0579,-543.3584
42750,1.5944932,3.6993015,-540.29065,-541.88513
43500,1.398037,3.8470793,-542.3581,-543.7561
44250,1.5213342,3.8248146,-543.62524,-545.14667
45000,1.3711773,3.9007406,-543.9109,-545.2821
45750,1.4711744,3.6342282,-541.6793,-543.1505
46500,1.3873832,3.671774,-542.26086,-543.6482
47250,1.4487163,3.698849,-543.1814,-544.6301
48000,1.3762,3.785757,-543.4382,-544.81433
48750,1.5200958,3.8143063,-545.635,-547.15515
49500,1.5084039,3.8923984,-545.8815,-547.3899
50250,1.4365104,3.804874,-546.20337,-547.6399
51000,1.5793314,3.9675584,-544.3331,-545.9124
51750,1.5532653,3.7018714,-541.3553,-542.9085
52500,1.4824103,3.7470047,-541.6383,-543.1208
53250,1.3870714,3.68899,-542.7185,-544.1055
54000,1.3882303,3.7185757,-545.1577,-546.54596
54750,1.5119772,3.6875105,-541.74005,-543.252
55500,1.3706617,3.8674831,-542.41943,-543.7901
56250,1.2687268,3.8604138,-542.706,-543.9747
57000,1.4390914,3.823822,-546.09937,-547.5385
57750,1.5790232,3.7800293,-541.5337,-543.11273
58500,1.413004,3.7477496,-541.65155,-543.0645
59250,1.3356223,3.9736881,-542.65967,-543.9953
60000,1.4331386,3.88021,-540.663,-542.09607
60750,1.6460519,3.7589624,-541.3809,-543.0269
61500,1.54359,3.8638756,-540.8972,-542.44073
62250,1.4828191,3.7960238,-541.8179,-543.3007
63000,1.5844891,3.835107,-541.5717,-543.1562
63750,1.4866982,3.7248833,-543.219,-544.7057
64500,1.2927562,3.794441,-542.4029,-543.6957
65250,1.3879652,3.7976031,-540.40106,-541.789
66000,1.2967409,3.8889194,-542.71576,-544.01245
66750,1.3906192,3.8812299,-542.7458,-544.13635
67500,1.4512513,3.7905085,-541.11,-542.56116
68250,1.409197,3.8131728,-542.2914,-543.70056
69000,1.5563844,3.7003531,-540.1106,-541.66705
69750,1.3888466,3.711661,-542.54034,-543.9292
70500,1.5552617,3.7483401,-540.7795,-542.3348
71250,1.4069613,3.801311,-544.5855,-545.99243
72000,1.290388,3.6621203,-541.5538,-542.8442
72750,1.2426445,3.776282,-541.54987,-542.79254
73500,1.4743108,3.7147195,-541.15283,-542.62714
74250,1.3806443,3.7944067,-540.84436,-542.225
75000,1.545845,3.9216504,-542.13696,-543.6828
75750,1.4694815,3.8554118,-542.11444,-543.5839
76500,1.4964252,3.8708286,-542.80865,-544.30505
77250,1.2455336,3.7704504,-541.42487,-542.6704
78000,1.3902955,3.6926026,-542.3305,-543.7208
78750,1.39833,3.7208261,-541.3667,-542.765
79500,1.4570854,3.7870395,-542.82556,-544.28265
80250,1.6061664,3.8297055,-541.3091,-542.9152
81000,1.3264906,3.618458,-542.35626,-543.6828
81750,1.3447148,3.9401038,-541.34814,-542.6929
82500,1.4754437,3.6518312,-541.7196,-543.195
83250,1.5792444,3.8706305,-541.1497,-542.72894
84000,1.4155529,3.7961357,-542.3657,-543.78143
84750,1.2397482,3.7392886,-541.3101,-542.55
85500,1.4993788,3.8043146,-541.40576,-542.90515
86250,1.1920035,3.7112997,-541.90063,-543.0926
87000,1.4578053,3.7406511,-540.8165,-542.27435
87750,1.6553401,3.8377795,-542.07916,-543.7346
88500,1.4069613,3.768857,-542.34717,-543.75415
89250,1.5279121,3.7311437,-541.3866,-542.9144
90000,1.414837,3.9082563,-543.83325,-545.2481
90750,1.5451299,3.6696658,-540.3985,-541.94366
91500,1.6032002,3.8493054,-543.7309,-545.3341
92250,1.5275607,3.794899,-540.7008,-542.22833
93000,1.4435116,3.7442214,-541.8038,-543.24725
93750,1.4238062,3.7616575,-541.8283,-543.25214
94500,1.6834168,3.7147257,-542.382,-544.0655
95250,1.2393012,3.7256255,-541.8981,-543.1374
96000,1.4193296,3.606445,-543.26917,-544.68854
96750,1.4422072,3.841544,-541.76526,-543.2074
97500,1.4448075,3.84208,-542.2612,-543.706
