an_iter,KL_loss,attr_loss,recn_loss,net_loss
0,8.912669,0.0,-1654.1885,-1663.1012
100,0.9270413,0.0,-208.25243,-209.17943
200,0.7109774,0.0,-163.14297,-163.85391
300,0.51263773,0.0,-130.17384,-130.68648
400,0.30736437,0.0,-122.91549,-123.22287
500,0.19086452,0.0,-114.08579,-114.27664
600,0.12689735,0.0,-100.40066,-100.52756
700,0.08888738,0.0,-98.038536,-98.12741
800,0.06840393,0.0,-86.84132,-86.90973
900,0.05877105,0.0,-84.376976,-84.435745
1000,0.047320977,0.0,-82.18083,-82.22816
1100,0.03770081,0.0,-80.366035,-80.40373
1200,0.034812484,0.0,-71.60872,-71.64353
1300,0.031152077,0.0,-73.578186,-73.60934
1400,0.026940798,0.0,-72.68492,-72.71186
1500,0.024520902,0.0,-72.09569,-72.12022
1600,0.022218762,0.0,-71.6601,-71.68233
1700,0.020637972,0.0,-71.70266,-71.7233
1800,0.018120062,0.0,-73.431145,-73.449265
1900,0.016170714,0.0,-72.32231,-72.33848
2000,0.013982344,0.0,-65.91053,-65.924515
2100,0.013698706,0.0,-67.73609,-67.74979
2200,0.012166631,0.0,-69.16054,-69.17271
2300,0.011377587,0.0,-67.97696,-67.98833
2400,0.010233654,0.0,-67.57763,-67.58786
2500,0.009777408,0.0,-66.03858,-66.04836
2600,0.009239674,0.0,-66.99686,-67.006096
