an_iter,KL_loss,attr_loss,recn_loss,net_loss
0,1.529843,3.9903076,-682.5742,-684.104
750,2.640828,3.8554716,-171.16707,-173.80789
1500,5.6054683,3.864014,-159.91042,-165.51588
2250,6.971035,4.0201507,-169.93974,-176.9108
3000,8.616456,3.9358573,-157.76874,-166.38521
3750,8.478925,3.8062057,-152.1048,-160.58372
4500,9.100047,3.908255,-147.0882,-156.18823
5250,9.877847,3.7986403,-175.61629,-185.49413
6000,10.341618,3.71545,-148.19313,-158.53474
6750,10.1498165,3.5961878,-151.20905,-161.35887
7500,10.660084,3.812888,-149.59798,-160.25806
8250,11.809566,3.776534,-155.10202,-166.91158
9000,10.873897,4.042942,-151.2904,-162.16432
9750,11.90482,3.6787436,-148.15594,-160.06075
10500,11.74908,3.7097535,-144.0238,-155.77289
11250,12.081254,3.7253342,-154.89648,-166.97775
12000,11.738003,3.8290968,-153.18257,-164.9206
12750,11.937422,3.81637,-146.9939,-158.9313
