an_iter,KL_loss,attr_loss,recn_loss,net_loss
0,1.5234145,0.0,-678.4772,-680.00055
750,2.2160518,0.0,-126.22472,-128.44077
1500,4.549738,0.0,-118.72565,-123.27538
2250,5.08701,0.0,-119.291016,-124.37802
3000,5.0220976,0.0,-128.0104,-133.03252
3750,5.9128456,0.0,-114.48096,-120.39379
4500,6.2393565,0.0,-112.99683,-119.23619
5250,6.8116827,0.0,-114.03229,-120.84397
6000,6.522722,0.0,-109.0549,-115.57761
6750,6.5121984,0.0,-111.65318,-118.16538
7500,6.7861743,0.0,-109.81728,-116.60347
8250,7.1735272,0.0,-110.23575,-117.40927
9000,7.3186426,0.0,-105.918495,-113.23715
9750,7.5244856,0.0,-105.28063,-112.80514
10500,7.817011,0.0,-109.909485,-117.72649
11250,7.169706,0.0,-107.71794,-114.88766
12000,7.6974425,0.0,-107.58182,-115.27926
12750,7.771674,0.0,-115.48869,-123.26035
13500,7.641931,0.0,-103.0058,-110.64774
14250,7.8483453,0.0,-107.33835,-115.18671
15000,7.9280477,0.0,-101.336876,-109.26492
15750,8.071865,0.0,-109.62151,-117.69337
16500,7.6293025,0.0,-104.10279,-111.732086
17250,7.846475,0.0,-107.83847,-115.68495
18000,8.610514,0.0,-109.63205,-118.242546
18750,7.9616265,0.0,-103.81223,-111.773865
19500,7.9004254,0.0,-105.17216,-113.07258
20250,8.464303,0.0,-101.47167,-109.93597
21000,8.578722,0.0,-103.688255,-112.26696
21750,8.094682,0.0,-99.696266,-107.790955
22500,8.165676,0.0,-103.841484,-112.00715
23250,8.295056,0.0,-103.99345,-112.288506
24000,8.359484,0.0,-102.14697,-110.50644
24750,8.490469,0.0,-113.40356,-121.89404
25500,8.578472,0.0,-100.72216,-109.30061
26250,8.600011,0.0,-106.54408,-115.14409
27000,8.713495,0.0,-106.77532,-115.48883
27750,8.561002,0.0,-100.35232,-108.91331
28500,8.254138,0.0,-94.67092,-102.92507
29250,8.207716,0.0,-101.259766,-109.46746
30000,8.338572,0.0,-101.42759,-109.766174
30750,8.633947,0.0,-101.57962,-110.21356
31500,8.970156,0.0,-107.02428,-115.99445
32250,8.292866,0.0,-105.11534,-113.4082
