an_iter,KL_loss,attr_loss,recn_loss,net_loss
0,1.8128214,4.179224,-682.3766,-684.18945
750,3.7908568,3.9853508,-166.38782,-170.17865
1500,6.5883965,3.9014978,-163.3165,-169.9049
2250,8.287862,3.829316,-152.83835,-161.12622
3000,8.326061,3.7278955,-158.6214,-166.94746
3750,9.023046,3.7744412,-157.83472,-166.85776
4500,9.772296,3.740119,-160.4058,-170.17815
5250,9.625625,3.827041,-155.0496,-164.67522
6000,10.500659,4.077615,-147.56374,-158.06438
6750,11.546024,3.7468686,-151.91537,-163.4614
7500,11.193835,3.8277311,-146.22568,-157.41953
8250,10.729636,3.7208183,-142.06308,-152.79272
9000,12.152543,3.6672971,-147.997,-160.14954
9750,12.331481,4.079325,-158.59933,-170.9308
10500,11.699425,3.824419,-157.11029,-168.80975
11250,11.35876,3.9206953,-143.41539,-154.77415
12000,11.775359,3.8545291,-144.4085,-156.18387
12750,12.535084,3.899278,-152.40656,-164.94164
13500,11.970879,3.7028365,-155.41171,-167.38258
14250,12.488276,3.8341858,-149.75299,-162.24127
15000,12.230953,3.754761,-141.00128,-153.23225
15750,12.478621,3.7909608,-149.642,-162.12064
16500,12.748676,3.8208113,-145.89354,-158.64221
17250,12.792023,3.8204978,-150.73969,-163.5317
18000,13.472168,4.077949,-150.14832,-163.62045
18750,12.331451,3.8251429,-149.37582,-161.70729
19500,12.936969,3.6217933,-145.48204,-158.41902
20250,12.506495,3.6741996,-152.37279,-164.87927
21000,12.784545,3.7470706,-158.7641,-171.54865
21750,13.287008,3.6920958,-157.51233,-170.79933
