an_iter,KL_loss,attr_loss,recn_loss,net_loss
0,15.703935,0.0,-2571.761,-2587.4648
100,1.4390852,0.0,-208.18239,-209.62146
200,0.65819746,0.0,-196.83167,-197.48982
300,0.43014592,0.0,-170.24779,-170.67789
400,0.26891756,0.0,-147.3801,-147.64902
500,0.19104515,0.0,-130.37227,-130.56332
600,0.11872035,0.0,-128.61841,-128.73712
700,0.09508241,0.0,-112.77839,-112.873474
800,0.07140045,0.0,-104.09779,-104.1692
900,0.05774823,0.0,-102.921745,-102.979485
1000,0.051155653,0.0,-95.377106,-95.42826
1100,0.050495714,0.0,-95.50143,-95.55191
1200,0.04141838,0.0,-92.40221,-92.443634
1300,0.034478802,0.0,-86.566086,-86.60056
1400,0.03327234,0.0,-80.635605,-80.66888
1500,0.030176,0.0,-83.39369,-83.42387
1600,0.029720606,0.0,-82.32147,-82.35121
1700,0.026283372,0.0,-79.54275,-79.56903
1800,0.024723273,0.0,-76.67435,-76.69907
1900,0.021189287,0.0,-77.53745,-77.55865
2000,0.019995231,0.0,-78.57017,-78.590164
2100,0.01874115,0.0,-75.6773,-75.696045
2200,0.016984511,0.0,-76.27458,-76.291565
2300,0.015192156,0.0,-73.89618,-73.91136
2400,0.01437757,0.0,-75.64224,-75.656624
2500,0.013029409,0.0,-75.27727,-75.29029
2600,0.013219969,0.0,-75.140564,-75.153786
2700,0.011358594,0.0,-72.22314,-72.23449
2800,0.010639038,0.0,-69.131386,-69.14203
2900,0.010672489,0.0,-69.21204,-69.22272
3000,0.009222678,0.0,-69.59515,-69.60439
3100,0.009195992,0.0,-71.57793,-71.58713
3200,0.007997085,0.0,-70.47724,-70.48524
3300,0.008522548,0.0,-67.393684,-67.402214
3400,0.00724584,0.0,-70.04138,-70.04863
3500,0.007372884,0.0,-71.87037,-71.87775
3600,0.006358013,0.0,-68.07722,-68.08357
3700,0.006079431,0.0,-69.8088,-69.81488
3800,0.006127435,0.0,-66.24591,-66.25203
3900,0.006558263,0.0,-68.49687,-68.503426
4000,0.005130134,0.0,-66.81784,-66.82297
4100,0.005021738,0.0,-64.87019,-64.87521
4200,0.0049824766,0.0,-66.717,-66.721985
4300,0.0044755084,0.0,-65.39779,-65.40227
4400,0.0051190793,0.0,-67.0815,-67.08662
4500,0.004619548,0.0,-62.805275,-62.8099
4600,0.0044843946,0.0,-65.0629,-65.06739
4700,0.0041430346,0.0,-66.95145,-66.95559
4800,0.004277034,0.0,-63.368145,-63.37242
4900,0.0042171497,0.0,-66.080826,-66.08505
5000,0.0041196966,0.0,-65.92295,-65.92706
5100,0.0044197342,0.0,-66.02133,-66.02576
5200,0.0038858922,0.0,-65.926094,-65.929985
5300,0.004257256,0.0,-65.36954,-65.3738
